price,volume,time,buy/sell,market/limit,miscellaneous
2893.17000,1.10377768,1647777423.8659554,s,m,
2893.01000,3.52777175,1647777423.8673358,s,m,
2893.00000,0.19188386,1647777423.869138,s,m,
2892.99000,0.08598486,1647777423.8706958,s,m,
2892.80000,0.69571765,1647777423.87215,s,m,
2892.48000,2.30000000,1647777423.8734455,s,m,
2892.47000,62.29430529,1647777423.874792,s,m,
2892.47000,5.00000000,1647777423.8775277,s,m,
2892.47000,1.69672561,1647777423.8801007,s,m,
2892.42000,0.03037390,1647777423.882446,s,m,
2892.30000,0.01037044,1647777423.8842592,s,m,
2892.29000,0.24302400,1647777423.8860004,s,m,
2892.22000,1.00000000,1647777423.8880863,s,m,
2892.20000,2.01950605,1647777423.8895385,s,m,
2892.20000,0.96194460,1647777423.891801,s,m,
2892.20000,1.00000000,1647777423.894098,s,m,
2892.20000,0.01854935,1647777423.896532,s,m,
2892.12000,0.03867974,1647777423.8983173,s,m,
2892.10000,0.31739033,1647777423.9001527,s,m,
2892.10000,0.01887568,1647777423.9020581,s,m,
2892.10000,0.01335064,1647777423.9038475,s,m,
2892.10000,0.37465968,1647777423.9056313,s,m,
2892.10000,2.25654998,1647777423.9074347,s,m,
2892.10000,1.00000000,1647777423.909146,s,m,
2892.35000,0.01619029,1647777424.0475936,s,m,
2892.35000,1.74380971,1647777424.6847062,s,l,
2892.00000,0.03590256,1647777424.7143056,s,l,
2891.83000,0.01414975,1647777424.7160509,s,l,
2891.62000,0.00581639,1647777424.7176173,s,l,
2891.55000,3.67970224,1647777424.71868,s,l,
2891.55000,4.07980471,1647777425.1531909,s,m,
2891.39000,2.48792397,1647777425.1548712,s,m,
2891.38000,0.06565812,1647777425.155997,s,m,
2891.24000,3.00000000,1647777425.1579394,s,m,
2891.13000,1.09519883,1647777425.1594663,s,m,
2891.00000,2.00000000,1647777425.162233,s,m,
2890.90000,0.00868935,1647777425.1637924,s,m,
2890.83000,0.20126244,1647777425.1658506,s,m,
2890.78000,0.01431282,1647777425.1673782,s,m,
2890.75000,0.02341261,1647777425.1694226,s,m,
2890.38000,0.00200000,1647777425.1709647,s,m,
2890.08000,0.34601118,1647777425.1724179,s,m,
2890.08000,0.07200000,1647777425.1737556,s,m,
2890.07000,0.09246809,1647777425.175244,s,m,
2890.02000,0.36800000,1647777425.1767528,s,m,
2890.01000,6.14325788,1647777425.1778283,s,m,
2890.01000,0.00926121,1647777425.2952814,s,m,
2890.01000,0.46875616,1647777425.8752933,s,l,
2890.01000,0.66216069,1647777425.87715,s,l,
